performer
Lys Assia
Jean Gabilou
Sheeba
Island
Habibi
Yiannis Dimitras
Linda Williams
Debbie Cameron and Tommy Seebach
Emly Starr
Bacchelli
Seid-Memic Vajta
Riki Sorsa
Marty Brem
Modern Folk Trio and Aysegül
Carlos Paião
Finn Kalvik
Nicole
Avi Toledano
Arlette Zola
Stella
Anna Vissi
Svetlana
Bardo
Chips
Mess
Lucía
The Duskeys
Jahn Teigen & Anita Skorgan
Doce
Aska
Neço
Bill van Dijk
Brixx
Kojo
Corinne Hermès
Ofra Haza
Carola Häggkvist
Danijel
Hoffmann und Hoffmann
Sweet Dreams
Bernadette
Westend
Riccardo Fogli
Ami Aspelund
Armando Gama
Christie Stassinopoulou
Mariella Farré
Stavros and Constantina
Gry Johansen
Pas de Deux
Çetin Alp and the Short Wave
Remedios Amaya
Herrey's
Linda Martin
Bravo
Hot Eyes
Jacques Zegers
Alice and Battiato
Belle and the Devotions
Annick Thoumazeau
Kirka
Sophie Carle
Maria Guinot
Bes Yil Önce On Yil Sonra
Maribelle
Andy Paul
Rainy Day
Dollie de Luxe
Vlado and Isolda
Anita
Bobbysocks
Wind
Kikki Danielsson
Vikki
Izhar Cohen
Maria Christian
Al Bano and Romina Power
Gary Lux
Sonja Lumme
Roger Bens
Mariella Farré and Pino Gasparini
Margo Franck Diane Ireen Malcolm & Chris
Paloma San Basilio
MFÖ
Lia Vishy
Takis Biniaris
Adelaïde
Linda Lepomme
Sandra Kim
Daniela Simons
Sherisse Laurence
Luv Bug
Lasse Holm & Monica Törnell
Lise Haavik and Trax
Ryder
Ingrid Peters
Klips ve Onlar
Cadillac
Doris Dragović
Ketil Stokkan
Frizzle Sizzle
Dora
Kari Kuivalainen
Icy
Cocktail Chic
Timna Brauer
Moti Galadi and Sarai Tzuriel
Umberto Tozzi and Raf
Novi Fosili
Marcha
Anne-Cathrine Herdorf
Alexia
Datner and Kushnir
Kate Gulbrandsen
Bang
Liliane Saint-Pierre
Lotta Engberg
Rikki
Christine Minier
Vicky Rosti
Halla Margarét
Carole Rich
Nevada
Patricia Kraus
Plastic Bertrand
Seyyal Tanner & Lokomotif
Céline Dion
Scott Fitzgerald
Kirsten & Søren
Lara Fabian
Karoline Krüger
Srebrna Krila
Yardena Arazi
Jump the Gun
Gerard Joling
Gérard Lenorman
La Década
Luca Barbarossa
Maxi and Chris Garden
Beathoven
Aphroditi Fryda
Reynaert
Boulevard
Wilfried
Riva
Live Report
Birthe Kjær
Tommy Nilsson
Thomas Forstner
Nina
Anneli Saaristo
Nathalie Pâque
Anna Oxa and Fausto Leali
Marianna
Fanny Polymeri and Yiannis Savvidakis
Gili & Galit
Furbaz
