,year,performer,song
574,1989,Justine Pelmelay,Blijf Zoals Je Bent
575,1989,Da Vinci,Conquistador
576,1989,Britt Synnøve Johansen,Venners Nærhet
577,1989,Kiev Connolly and the Missing Passengers,The Real Me
578,1989,Ingeborg,Door De Wind
579,1989,Park Café,Monsieur
580,1989,Pan,Bana Bana
581,1989,Daníel Augúst Haraldsson,Það Sem Enginn Sér
582,1990,Toto Cutugno,Insieme: 1992
583,1990,Joelle Ursull,White And Black Blues
584,1990,Liam Reilly,Somewhere In Europe
585,1990,Stjórnin,Eitt Lag Enn
586,1990,Azúcar Moreno,Bandido
587,1990,Emma,Give A Little Love Back To The World
588,1990,Tajci,Hajde Da Ludujemo
589,1990,Lonnie Devantier,Hallo Hallo
590,1990,Chris Kempers and Daniel Kovac,Frei Zu Leben
591,1990,Simone,Keine Mauern Mehr
592,1990,Egon Egemann,Musik Klingt In Die Welt Hinaus
593,1990,Philippe Lafontaine,Macédomienne
594,1990,Céline Carzo,Quand Je Te Rêve
595,1990,Haris Anastasiou,Milas Poli
596,1990,Maywood,Ik Wil Alles Met Je Delen
597,1990,Edin-Ådahl,Som En Vind
598,1990,Kayahan,Gözlerinin Hapsindeyim
599,1990,Rita,Shara Barechovot
600,1990,Christos Callow and Wave,Horis Skopo
601,1990,Nucha,Há Sempre Alguém
602,1990,Ketil Stokkan,Brandenburger Tor
603,1990,Beat,Fri?
604,1991,Carola,Fångad Av En Stormvind
605,1991,Amina,C'est Le Dernier Qui A Parlé Qui A Raison
606,1991,Duo Datz,Kan
607,1991,Sergio Dalma,Bailar Pegados
608,1991,Sandra Simò,Canzone Per Te
609,1991,Paul Giordimaina and Georgina,Could It Be
610,1991,Peppino di Capri,Comme E' Ddoce 'o Mare
611,1991,Dulce,Lusitana Paixão
612,1991,Elena Patroclou,S.O.S.
613,1991,Kim Jackson,Could It Be That I'm In Love
614,1991,Samantha Janus,A Message To Your Heart
615,1991,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Iki Dakika
616,1991,Sofia Vossou,I Anixi
617,1991,Sarah Bray,Un Baiser Volé
618,1991,Stefán and Eyfi,Nina
619,1991,Clouseau,Geef Het Op
620,1991,Just 4 Fun,Mrs. Thompson
621,1991,Atlantis 2000,Dieser Traum Darf Niemals Sterben
622,1991,Anders Frandsen,Lige Der Hvor Hjertet Slår
623,1991,Kaija,Hullu Yö
624,1991,Baby Doll,Brazil
625,1991,Thomas Forstner,Venedig Im Regen
626,1992,Linda Martin,Why Me
627,1992,Michael Ball,One Step Out Of Time
628,1992,Mary Spiteri,Little Child
629,1992,Mia Martini,Rapsodia
630,1992,Cleopatra,Olou Tou Kosmou tin Elpida
631,1992,Dafna,Ze Rak Sport
632,1992,Heart 2 Heart,Nei Eða Já
633,1992,Kali,Monté La Riviè
634,1992,Humphrey Campbell,Wijs Me De Weg
635,1992,Tony Wegas,Zusammen Geh'n
636,1992,Evridiki,Teriazoume
637,1992,Kenny & Lotte,Alt Det Som Ingen Ser
638,1992,Extra Nena,Ljubim Te Pesmama
639,1992,Serafin,Todo Esto Es La Música
640,1992,Daisy Auvray,Mister Music Man
641,1992,Wind,Träume Sind Für Alle Da
642,1992,Diná,Amor D'água Fresca
643,1992,Merethe Trøan,Visjoner
644,1992,Aylin Vatankos,Yaz Bitti
645,1992,Morgane,Nous On Veut Des Violons
646,1992,Marion Welter and Kontinent,Sou Fräi
647,1992,Christer Björkman,I Morgon är En Annan Dag
648,1992,Pave,Yamma Yamma
649,1993,Niamh Kavanagh,In Your Eyes
650,1993,Sonia,Better The Devil You Know
651,1993,Annie Cotton,"Moi, Tout Simplement"
652,1993,Patrick Fiori,Mama Corsica
653,1993,Silje Vige,Alle Mine Tankar
654,1993,Ruth Jacott,Vrede
655,1993,Arvingarna,Eloïse
656,1993,William Mangion,This Time
657,1993,Kaiti Garbi,"Ellada, Hora Tou Fotos"
658,1993,Anabela,A Cidade Até Ser Dia
659,1993,Eva Santamaria,Hombres
660,1993,Enrico Ruggeri,Sole D'europa
661,1993,Inga,þá Veistu Svarið
662,1993,Tony Wegas,Maria Magdalena
663,1993,Put,Don't Ever Cry
664,1993,Fazla,Sva Bol Svijeta
665,1993,Katri-Helena,Tule Luo
666,1993,Münchener Freiheit,Viel Zu Weit
667,1993,Kyriakos Zymboulakis & Demos Van Beke,Mi Stamatas
668,1993,Modern Times,Donne-moi Une Chance
669,1993,"Burak Aydos, Öztürk Baybora & Serter",Esmer Yarim
670,1993,Tommy Seebach Band,Under Stjernerne På Himlen
671,1993,1X Band,Tih Dezeven Dan
672,1993,Lakahat Shiru,Shiru
673,1993,Barbara,Iemand Als Jij
674,1994,Paul Harrington & Charlie McGettigan,Rock 'n' Roll Kids
675,1994,Edyta Górniak,To Nie Ja!
676,1994,MeKaDo,Wir Geben 'ne Party
677,1994,Friderika Bayer,Kinek Mondjam El Vétkeimet
678,1994,Moira Stafrace and Christopher Scicluna,More Than Love
679,1994,Elisabeth Andreasson & Jan Werner Danielsen,Duett
680,1994,Nina Morato,Je Suis Un Vrai Garçon
681,1994,Sara Tavares,Chamar A Música
682,1994,Youddiph,Vechni Stranik
683,1994,Frances Ruffelle,We Will Be Free (lonely Symphony)
684,1994,Evridiki,Ime Anthropos Ke Ego
685,1994,Sigga,Nætur
686,1994,Marie Bergman and Roger Pontare,Stjärnorna
687,1994,Costas Bigalis and the Sea Lovers,To Trehantiri
688,1994,Alma and Dejan,Ostani Kraj Mene
689,1994,Tony Cetinski,Nek'ti Bude Ljubav Sva
690,1994,Petra Frey,Für Den Frieden Der Welt
691,1994,Alejandro Abad,Ella No Es Ella
692,1994,Duilio,Sto Pregando
693,1994,Martin Durinda and Tublatanka,Nekovecná Piesen
694,1994,Dan Bittman,Dincolo De Nori
695,1994,CatCat,Bye Bye Baby
696,1994,Willeke Alberti,Waar Is De Zon
697,1994,Silvi Vrait,Nagu Merelaine
698,1994,Ovidijus Vyšniauskas,Lopšinė mylimai
699,1995,Secret Garden,Nocturne
700,1995,Anabel Conde,Vuelve Conmigo
701,1995,Jan Johansen,Se På Mej
702,1995,Nathalie Santamaria,Il Me Donne Rendez-vous
703,1995,Aud Wilken,Fra Mols Til Skagen
704,1995,Magazin and Lidija,Nostalgija
705,1995,Darja Svajger,Prisluhni Mi
706,1995,Liora,Amen
707,1995,Alexandros Panayi,Sti Fotia
708,1995,Love City Groove,
709,1995,Mike Spiteri,Keep Me In Mind
710,1995,Elina Constantopoulou,Pia Prosefhi
711,1995,Stella Jones,Die Welt Dreht Sich Verkehrt
712,1995,Eddie Friel,Dreamin'
713,1995,Bó Halldórsson,Núna
714,1995,Arzu Ece,Sev!
715,1995,Philipp Kirkorov,Kolybelnaya Dlya Vulkana
716,1995,Justyna,Sama
717,1995,Davor Popovic,Dvadeset I Prvi Vijek
718,1995,Frédéric Etherlinck,La Voix Est Libre
719,1995,Tó Cruz,Baunilha E Chocolate
720,1995,Czaba Szigeti,Ùj Nèv Egy Règi Hàz Fàlan
721,1995,Stone and Stone,Verliebt In Dich
722,1996,Eimear Quinn,The Voice
723,1996,Elisabeth Andreasson,I Evighet
724,1996,One More Time,Den Vilda
725,1996,Maja Blagdan,Sveta Ljubav
726,1996,Ivo Linna and Maarja-Liis Ilus,Kaelakee Hääl
727,1996,Lúcia Moniz,O Meu Coração Não Tem Cor
728,1996,Maxine & Franklin Brown,De Eerste Keer
729,1996,Gina G,Ooh...Aah...Just A Little Bit
730,1996,Constantinos,Mono Gia Mas
731,1996,Miriam Christine,In A Woman's Heart
732,1996,George Nußbaumer,Weil's Dr Guat Got
733,1996,Şebnem Paker,Besinçi Mevsim
734,1996,Anna Mjöll,Sjúbídú
735,1996,Marianna Efstratiou,Emis Forame To Himona Anixiatika
736,1996,Kasia Kowalska,Chce Znac Swój Grzech
737,1996,Cathy Leander,Mon Coeur L'aime
738,1996,Lisa del Bo,Liefde Is Een Kaartspel
739,1996,Marcel Palonder,Kým Nás Máš
740,1996,Dan Ar Braz et l'Héritage des Celtes,Diwanit Bugale
741,1996,Antonio Carbonell,"¡Ay, Qué Deseo!"
742,1996,Regina,Dan najlepših sanj
743,1996,Amila Glamocak,Za Našu Ljubav
744,1996,Jasmine,Niin Kaunis On Taivas
745,1997,Katrina and The Waves,Love Shine A Light
746,1997,Marc Roberts,Mysterious Woman
747,1997,Sebnem Paker and Group Etnic,Dinle
748,1997,Jalisse,Fiumi Di Parole
749,1997,Chara and Andreas Konstantinou,Mana Mou
750,1997,Marcos Llunas,Sin Rencor
751,1997,Fanny,Sentiments Songes
752,1997,Maarja-Liis Ilus,Keelatud Maa
753,1997,Debbie Scerri,Let Me Fly
754,1997,Tanja Ribič,Zbudi Se
755,1997,Anna Maria Jopek,Ale Jestem
756,1997,Marianna Zorba,Horepse
757,1997,VIP,"Miert Kell, Hogy Elmenj?"
758,1997,Blond,Bara Hon älskar Mig
759,1997,Alla Pugachova,Primadonna
760,1997,Kølig Kaj,Stemmen I Mit Liv
761,1997,ENI,Probudi Me
762,1997,Bianca Shomburg,Zeit
763,1997,Alma Cardzic,Goodbye
764,1997,Paul Oscar,Minn Hinsti Dans
765,1997,Bettina Soriat,One Step
766,1997,Barbara Berta,Dentro Di Me
767,1997,Mrs. Einstein,Niemand Heeft Nog Tijd
768,1997,Tor Endresen,San Francisco
769,1997,Célia Lawson,Antes Do Adeus
770,1998,Dana International,Diva
771,1998,Imaani,Where Are You?
772,1998,Chiara,The One That I Love
773,1998,Edsilia Rombley,Hemel En Aarde
774,1998,Danijela,Neka Mi Ne Svane
775,1998,Mélanie Cohl,Dis Oui
776,1998,Guildo Horn,Guildo Hat Euch Lieb
777,1998,Lars A. Fredriksen,Alltid Sommer
778,1998,Dawn,Is Always Over Now?
779,1998,Jill Johnson,Kärleken är
780,1998,Michael Hajiyanni,Genesis
781,1998,Alma Lusa,Se Eu Te Pudesse Abraçar
782,1998,Koit Toome,Mere Lapsed
783,1998,Tüzmen,Unutamazsin
784,1998,Edea,Aava
785,1998,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?
786,1998,Sixteen,To Takie Proste
787,1998,Vili Resnik,Naj Bogovi Sliijo
788,1998,Vlado Janevski,"Ne Zori, Zoro"
789,1998,Dionysia and Thalassa group,Mia Krifi Evaisthissia
790,1998,Katarína Hasprová,Modlitba
791,1998,Malina Olinescu,Eu Cred
792,1998,Charlie,A Holnap Már Ném Lesz Szomorú
793,1998,Marie-Line,Où Aller
794,1998,Gunvor,Lass Ihn
795,1999,Charlotte Nilsson,Take Me To Your Heaven
796,1999,Selma Björnsdóttir,All Out Of Luck
797,1999,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat
798,1999,Doris Dragović,Marija Magdalena
799,1999,Eden,Yom Huledeth
800,1999,Evelin Samuel and Camille,Diamond Of Night
801,1999,Dino and Beatrice,Putnici
802,1999,Trine Jepsen & Michael Teschl,This Time (i Mean It)
803,1999,Marlayne,One Good Reason
804,1999,Bobbie Singer,Reflection
805,1999,Darja Svajger,For A Thousand Years
806,1999,Venessa Chinitor,Like The Wind
807,1999,Precious,Say It Again
808,1999,Stig André Van Eijk,Living My Life Without You
809,1999,Times 3,Believe 'n Peace
810,1999,Tuba Önal & Grup Mystik,Dön Artik
811,1999,The Mullan's,When You Need Me
812,1999,Mietek Szczesniak,Przytul Mnie Mocno
813,1999,Nayah,Je Veux Donner Ma Voix
814,1999,Aiste Smilgeviciute,Strazdas
815,1999,Rui Bandeira,Como Tudo Começou
816,1999,Marlain Angelidou,Tha'nai Erotas
817,1999,Lydia,No Quiero Escuchar
818,2000,Olsen brothers,Fly On The Wings Of Love
819,2000,Alsou,Solo
820,2000,BrainStorm,My Star
821,2000,Ines,Once In A Lifetime
822,2000,Stefan Raab,Wadde Hadde Dudde Da
823,2000,Eamonn Toal,Millennium Of Love
824,2000,Roger Pontare,When Spirits Are Calling My Name
825,2000,Claudette Pace,Desire
826,2000,Goran Karan,Kada Zaspu Andeli
827,2000,Pinar Ayhan & S.O.S. band,Yorgunum Anla
828,2000,Charmed,My Heart Goes Boom
829,2000,August & Telma,Tell Me!
830,2000,Linda Wagenmakers,No Goodbyes
831,2000,The rounder girls,All To You
832,2000,XXL,100% Te Ljubam
833,2000,Nicki French,Don't Play That Song Again
834,2000,Taxi,The Moon
835,2000,Serafín Zubiri,Colgado De Un Sueño
836,2000,Nina Åström,A Little Bit
837,2000,Jane Bogaert,La Vita Cos'è?
838,2000,Voice,Nomiza
839,2000,Ping Pong,Sa'me'akh
840,2000,Sofia Mestari,On Aura Le Ciel
841,2000,Nathalie Sorce,Envie De Vivre
842,2001,"Tanel Padar, Dave Benton & 2XL",Everybody
843,2001,Rollo & King,Never Ever Let You Go
844,2001,Antique,Die For You
845,2001,Natasha Saint-Pier,Je N'ai Que Mon âme
846,2001,Friends,Listen To Your Heartbeat
847,2001,David Civera,Dile Que La Quiero
848,2001,Nua Derenda,Energy
849,2001,Michelle,Wer Liebe Lebt
850,2001,Fabrizio Faniello,Another Summer Night
851,2001,Vanna,Strings Of My Heart
852,2001,Sedat Yüce,Sevgiliye Son
853,2001,Mumiy troll,Lady Alpine Blue
854,2001,Skamp,You Got Style
855,2001,Nino,Hano
856,2001,Lindsay D.,No Dream Impossible
857,2001,Tal Sondak,Ein Davar
858,2001,MTM,Só Sei Ser Feliz Assim
859,2001,Michelle,Out On My Own
860,2001,Arnis Mednis,Too Much
861,2001,Piasek,2 Long
862,2001,Gary O'Shaughnessy,Without Your Love
863,2001,TwoTricky,Angel
864,2001,Haldor Lægreid,On My Own
865,2002,Marie N,I Wanna
866,2002,Ira Losco,7th Wonder
867,2002,Jessica Garlick,Come Back
868,2002,Sahléne,Runaway
869,2002,Sandrine François,Il Faut Du Temps
870,2002,One,Gimme
871,2002,Rosa,Europe's Living A Celebration
872,2002,Afro-dite,Never Let It Go
873,2002,Monica Anghel & Marcel Pavel,Tell Me Why
874,2002,Prime minister,Northern Girl
875,2002,Vesna Pisarovic,Everything I Want
876,2002,Sarit Hadad,Light A Candle
877,2002,Maja,Na Jastuku Za Dvoje
878,2002,Sergio & the Ladies,Sister
879,2002,Sestre,Samo Ljubezen
880,2002,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde
881,2002,Michalis Rakintzis,S.A.G.A.P.O.
882,2002,Manuel Ortega,Say A Word
883,2002,Karolina,Od Nas Zavisi
884,2002,Laura,Addicted To You
885,2002,Corinna May,I Can't Live Without Music
886,2002,Francine Jordi,Dans Le Jardin De Mon Âme
887,2002,Aivaras,Happy You
888,2002,Malene,Tell Me Who You Are
889,2003,Sertab Erener,Everyway That I Can
890,2003,Urban Trad,Sanomi
891,2003,t.A.T.u.,"Ne Ver, Ne Boisia"
892,2003,Jostein Hasselgård,I'm Not Afraid To Move On
893,2003,Fame,Give Me Your Love
894,2003,Alf Poier,Weil Der Mensch Zählt
895,2003,Ich Troje,Keine Grenzen - Zadnych Granic
896,2003,Birgitta,Open Your Heart
897,2003,Beth,Dime
898,2003,Nicola,Dont Break My Heart
899,2003,Mickey Harte,We've Got The World
900,2003,Lou,Lets Get Happy
901,2003,Esther Hart,One More Night
902,2003,Olexandr,Hasta La Vista
903,2003,Claudia Beni,Vie Nisam Tvoja
904,2003,Mija Martina,Ne Brini
905,2003,Mando,Never Let You Go
906,2003,Louisa Baileche,Monts Et Merveilles
907,2003,Lior Narkis,Words For Love
908,2003,Stelios Constantas,Feeling Alive
909,2003,Ruffus,Eighties Coming Back
910,2003,Rita Guerra,Deixa-me Sonhar
911,2003,Karmen,Nanana
912,2003,F.L.Y.,Hello From Mars
913,2003,Lynn Chirchop,To Dream Again
914,2003,Jemini,Cry Baby
915,2004,Ruslana,Wild Dances
916,2004,Željko Joksimović,Lane Moje
917,2004,Sakis Rouvas,Shake It
918,2004,Athena,For Real
919,2004,Lisa Andreas,Stronger Every Minute
920,2004,Lena Philipsson,It Hurts
921,2004,Anjeza Shahini,The Image Of You
922,2004,Max,Can't Wait Until Tonight
923,2004,Deen,In The Disco
924,2004,Ramón,Para Llenarme De Ti
925,2004,Julia Savicheva,Believe Me
926,2004,Julie & Ludwig,On Again... Off Again
927,2004,Ivan Mikulic,You Are The Only One
928,2004,Tose Proeski,Life
929,2004,Jonatan Cerrada,A Chaque Pas
930,2004,James Fox,Hold On To Our Love
931,2004,Blue Cafe,Love Song
932,2004,Sanda Ladosi,I Admit
933,2004,Jónsi,Heaven
934,2004,Re-union,Without You
935,2004,Tie Break,Du Bist
936,2004,Xandee,1 Life
937,2004,Chris Doran,If My World Stopped Turning
938,2004,Knut Anders Sørum,High
939,2004,Neiokõsõ,Tii
940,2004,David D'or,Le'ha'amin
941,2004,Tomas Thordarson,Shame On You
942,2004,Jari Sillanpää,Takes 2 To Tango
943,2004,Sofia,Foi Magia
944,2004,Linas ir Simona,What's Happened To Your Love
945,2004,Fomins & Kleins,Dziesma Par Laimi
946,2004,Marta Roure,Jugarem A Estimar-nos
947,2004,Aleksandra & Konstantin,My Galileo
948,2004,Maryon,Notre Planète
949,2004,Platin,Stay Forever
950,2004,Piero Esteriore & the MusicStars,Celebrate
951,2005,Helena Paparizou,My Number One
952,2005,Chiara,Angel
953,2005,Luminita Anghel & Sistem,Let Me Try
954,2005,Shiri Maymon,Hasheket Shenish'ar
955,2005,Walter & Kazha,The War Is Not Over
956,2005,Zdob şi Zdub,Boonika Bate Doba
957,2005,No Name,Zauvijek Moja
958,2005,Vanilla Ninja,Cool Vibes
959,2005,Wig Wam,In My Dreams
960,2005,Jakob Sveistrup,Talking To You
961,2005,Boris Novkovic feat. Lado members,Vukovi Umiru Sami
962,2005,NOX,Forogj Világ
963,2005,Gülseren,Rimi Rimi Ley
964,2005,Feminnem,Call Me
965,2005,Natalia Podolskaya,Nobody Hurt No One
966,2005,Ledina Celo,Tomorrow I Go
967,2005,Martin Vucic,Make My Day
968,2005,Constantinos Christoforou,Ela Ela
969,2005,Martin Stenmarck,Las Vegas
970,2005,Greenjolly,Razom Nas Bahato
971,2005,Son de sol,Brujería
972,2005,Javine,Touch My Fire
973,2005,Ortal,Chacun Pense à Soi
974,2005,Gracia,Run & Hide
975,2005,Ivan & Delfin,Czarna Dziewczyna
976,2005,Omar Naber,Stop
977,2005,Angelica Agurbash,Love Me Tonight
978,2005,Glennis Grace,My Impossible Dream
979,2005,Donna and Joseph McCaul,Love?
980,2005,Selma,If I Had Your Love
981,2005,2B,Amar
982,2005,Geir Rönning,Why
983,2005,Kaffe,Lorraine
984,2005,Suntribe,Let's Get Loud
985,2005,Global.Kryner,Y Así
986,2005,Nuno Resende,Le Grand Soir
987,2005,Marian van de Wal,La Mirada Interior
988,2005,Lise Darly,Tout De Moi
989,2005,Laura and the Lovers,Little By Little
990,2006,Lordi,Hard Rock Hallelujah
991,2006,Dima Bilan,Never Let You Go
992,2006,Hari Mata Hari,Lejla
993,2006,Mihai Traistariu,Tornero
994,2006,Carola,Invincible
995,2006,LT United,We Are The Winners
996,2006,Tina Karol,Show Me Your Love
997,2006,André,Without Your Love
998,2006,Anna Vissi,Everything
999,2006,Brian Kennedy,Every Song Is A Cry For Love
1000,2006,Sibel Tüzün,Superstar
1001,2006,Elena Risteska,Ninanajna
1002,2006,Severina,Moja tikla
1003,2006,Christine Guldbrandsen,Alvedansen
1004,2006,Texas Lightning,"No, No, Never"
1005,2006,Six4One,If We All Give A Little
1006,2006,Cosmos,I Hear Your Heart
1007,2006,Sidsel Ben Semmane,Twist Of Love
1008,2006,Daz Sampson,Teenage Life
1009,2006,Arsenium & Natalia Gordienko,Loca
1010,2006,Las Ketchup,Bloody Mary
1011,2006,Virginie Pouchin,Il était Temps
1012,2006,Eddie Butler,Ze Hazman
1013,2006,Fabrizio Faniello,I Do
1014,2006,Ich Troje,Follow My Heart
1015,2006,Kate Ryan,Je t'adore
1016,2006,Silvia Night,Congratulations
1017,2006,Luiz Ejlli,Zjarr E Ftohtë
1018,2006,Annet Artani,Why Angels Cry
1019,2006,Anej Dean,Mr. Nobody
1020,2006,Mariana Popova,Let Me Cry
1021,2006,Sandra,Through My Window
1022,2006,Nonstop,Coisas De Nada
1023,2006,Treble,Amambanda
1024,2006,Séverine Ferrer,La Coco-dance
1025,2006,Polina Smolova,Mum
1026,2006,Jennifer,Sense Tu
1027,2007,Marija Šerifović,Molitva
1028,2007,Verka Serduchka,Dancing Lasha Tumbai
1029,2007,Serebro,Song # 1
1030,2007,Kenan Dogulu,Shake It Up Shekerim
1031,2007,Elitsa Todorova & Stoyan Yankulov,Water
1032,2007,Dmitry Koldun,Work Your Magic
1033,2007,Sarbel,Yassou Maria
1034,2007,Hayko,Anytime You Need
1035,2007,Magdi Rúzsa,Unsubstantial Blues
1036,2007,Natalia Barbu,Fight
1037,2007,Marija Sestic,Rijeka Bez Imena
1038,2007,Sopho,Visionary Dream
1039,2007,Todomondo,"Liubi, Liubi, I Love You"
1040,2007,Karolina,Mojot Svet
1041,2007,Alenka Gotar,Cvet Z Juga
1042,2007,Bonaparti.lv,Questa Notte
1043,2007,Hanna Pakarinen,Leave Me Alone
1044,2007,The Ark,The Worrying Kind
1045,2007,Roger Cicero,Frauen Regieren Die Welt
1046,2007,NASH,I Love You Mi Vida
1047,2007,4Fun,Love Or Leave
1048,2007,Les Fatals Picards,L'amour à La Française
1049,2007,Scooch,Flying The Flag (for You)
1050,2007,Dervish,They Can't Stop The Spring
1051,2007,Sabrina,Dança Comigo (vem Ser Feliz)
1052,2007,Anonymous,Salvem El Món
1053,2007,Eiríkur Hauksson,Valentine Lost
1054,2007,The Jet Set,Time To Party
1055,2007,Evridiki,"Comme Ci, Comme ça"
1056,2007,Dragonfly feat. Dado Topic,Vjerujem U Ljubav
1057,2007,Aida & Frederik Ndoci,Hear My Plea
1058,2007,Guri Schanke,Ven A Bailar Conmigo
1059,2007,DQ,Drama Queen
1060,2007,DJ BoBo,Vampires Are Alive
1061,2007,Edsilia Rombley,On Top Of The World
1062,2007,Stevan Faddy,Ajde Kroci
1063,2007,Gerli Padar,Partners In Crime
1064,2007,Teapacks,Push The Button
1065,2007,Olivia Lewis,Vertigo
1066,2007,The KMG's,Love Power
1067,2007,Eric Papilaya,Get A Life - Get Alive
1068,2007,Kabát,Malá Dáma
1069,2008,Dima Bilan,Believe
1070,2008,Ani Lorak,Shady Lady
1071,2008,Kalomira,Secret Combination
1072,2008,Sirusho,"Qele, Qele"
1073,2008,Maria,Hold On Be Strong
1074,2008,Jelena Tomašević feat. Bora Dugic,Oro
1075,2008,Mor ve Ötesi,Deli
1076,2008,Elnur & Samir,Day After Day
1077,2008,Boaz,The Fire In Your Eyes
1078,2008,Laka,Pokušaj
1079,2008,Diana Gurtskaya,Peace Will Come
1080,2008,Pirates Of The Sea,Wolves Of The Sea
1081,2008,Vânia Fernandes,Senhora Do Mar (Negras Águas)
1082,2008,Euroband,This Is My Life
1083,2008,Simon Mathew,All Night Long
1084,2008,Rodolfo Chikilicuatre,Baila El Chiki Chiki
1085,2008,Olta Boka,Zemrën E Lamë Peng
1086,2008,Charlotte Perrelli,Hero
1087,2008,Sébastien Tellier,Divine
1088,2008,Nico & Vlad,Pe-o Margine De Lume
1089,2008,Kraljevi Ulice & 75 Cents,Romanca
1090,2008,Teräsbetoni,Missä Miehet Ratsastaa
1091,2008,No Angels,Disappear
1092,2008,Isis Gee,For Life
1093,2008,Andy Abraham,Even If
1094,2008,"Tamara, Vrčak & Adrijan",Let Me Love You
1095,2008,Deep Zone & Balthazar,"DJ, Take Me Away"
1096,2008,Paolo Meneguzzi,Era Stupendo
1097,2008,Morena,Vodka
1098,2008,Rebeka Dremelj,Vrag Naj Vzame
1099,2008,Geta Burlacu,A Century Of Love
1100,2008,Evdokia Kadi,Femme Fatale
1101,2008,Jeronimas Milius,Nomads In The Night
1102,2008,Hind,Your Heart Belongs To Me
1103,2008,Ruslan Alehno,Hasta La Vista
1104,2008,Stefan Filipović,Zauvijek Volim Te
1105,2008,Dustin the Turkey,Irelande Douze Pointe
1106,2008,Gisela,Casanova
1107,2008,Ishtar,O Julissi
1108,2008,Tereza Kerndlová,Have Some Fun
1109,2008,Kreisiraadio,Leto Svet
1110,2008,Csézy,Candlelight
1111,2008,Miodio,Complice
1112,2009,Alexander Rybak,Fairytale
1113,2009,Yohanna,Is It True?
1114,2009,AySel & Arash,Always
1115,2009,Hadise,Düm Tek Tek
1116,2009,Jade Ewen,It's My Time
1117,2009,Urban Symphony,Rändajad
1118,2009,Sakis Rouvas,This Is Our Night
1119,2009,Patricia Kaas,Et S'il Fallait Le Faire
1120,2009,Regina,Bistra Voda
1121,2009,Inga & Anush,Jan Jan
1122,2009,Anastasia Prikhodko,Mamo
1123,2009,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl)
1124,2009,Brinck,Believe Again
1125,2009,Nelly Ciobanu,Hora Din Moldova
1126,2009,Flor-de-lis,Todas As Ruas Do Amor
1127,2009,Noa & Mira Awad,There Must Be Another Way
1128,2009,Kejsi Tola,Carry Me In Your Dreams
1129,2009,Igor Cukrov feat. Andrea,Lijepa Tena
1130,2009,Elena,The Balkan Girls
1131,2009,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang
1132,2009,Malena Ernman,La Voix
1133,2009,Chiara,What If We
1134,2009,Sasha Son,Love
1135,2009,Soraya,La Noche Es Para Mí (The Night Is For Me)
1136,2009,Waldo's People,Lose Control
1137,2009,Marko Kon & Milaan,Cipela
1138,2009,Sinéad Mulvey & Black Daisy,Et Cetera
1139,2009,Next Time,Neshto Shto Ke Ostane
1140,2009,Andrea Demirović,Just Get Out of My Life
1141,2009,Lidia Kopania,I Don't Wanna Leave
1142,2009,Christina Metaxa,Firefly
1143,2009,Petr Elfimov,Eyes That Never Lie
1144,2009,Lovebugs,The Highest Heights
1145,2009,Zoli Ádok,Dance With Me
1146,2009,Quartissimo feat. Martina,Love Symphony
1147,2009,The Toppers,Shine
1148,2009,Susanne Georgi,La Teva Decisió (Get A Life)
1149,2009,Kamil Mikulčík & Nela Pocisková,Leť Tmou
1150,2009,Krassimir Avramov,Illusion
1151,2009,Intars Busulis,Probka
1152,2009,Copycat,
1153,2009,Gipsy.cz,Aven Romale
1154,2010,Lena,Satellite
1155,2010,maNga,We Could Be The Same
1156,2010,Paula Seling & Ovi,Playing With Fire
1157,2010,Chanée & N'evergreen,In A Moment Like This
1158,2010,Safura,Drip Drop
1159,2010,Tom Dice,Me And My Guitar
1160,2010,Eva Rivas,Apricot Stone
1161,2010,Giorgos Alkaios & Friends,OPA
1162,2010,Sofia Nizharadze,Shine
1163,2010,Alyosha,Sweet People
1164,2010,Peter Nalitch & Friends,Lost And Forgotten
1165,2010,Jessy Matador,Allez Olla Olé
1166,2010,Milan Stanković,Ovo Je Balkan
1167,2010,Harel Skaat,Milim
1168,2010,Daniel Diges,Algo Pequeñito
1169,2010,Juliana Pasha,It's All About You
1170,2010,Vukašin Brajić,Thunder and Lightning
1171,2010,Filipa Azevedo,Há Dias Assim
1172,2010,Hera Björk,Je Ne Sais Quoi
1173,2010,Didrik Solli-Tangen,My Heart Is Yours
1174,2010,Jon Lilygreen & The Islanders,Life Looks Better In Spring
1175,2010,Sunstroke Project & Olia Tira,Run Away
1176,2010,Niamh Kavanagh,It's For You
1177,2010,3+2,Butterflies
1178,2010,Josh,That Sounds Good To Me
1179,2010,Anna Bergendahl,This Is My Life
1180,2010,Kuunkuiskaajat,Työlki Ellää
1181,2010,InCulto,Eastern European Funk
1182,2010,Thea Garrett,My Dream
1183,2010,Marcin Mroziński,Legenda
1184,2010,Malcolm Lincoln,Siren
1185,2010,Gjoko Taneski,Jas Ja Imam Silata
1186,2010,Feminnem,Lako Je Sve
1187,2010,Sieneke,Ik Ben Verliefd (Sha-la-lie)
