,year,performer,song
126,1965,Birgit Brüel,For Din Skyld
127,1965,Yovanna,Non à Jamais Sans Toi
128,1965,Marjorie Noël,Va Dire à L'amour
129,1965,Ingvar Wixell,Absent Friend
130,1965,Conny Van den bos,Het Is Genoeg
131,1965,Vice Vukov,Ceznja
132,1965,Kirsti Sparboe,Karusell
133,1965,Simone de Oliviera,Sol De Inverno
134,1965,Conchita Bautista,"Qué Bueno, Qué Bueno"
135,1965,Ulla Wiesner,"Paradies, Wo Bist Du?"
136,1965,Lize Marke,Als Het Weer Lente Is
137,1965,Viktor Klimenko,Aurinko Laskee Länteen
138,1966,Udo Jürgens,Merci Chérie
139,1966,Lill Lindfors & Svante Thuresson,Nygammal Vals
140,1966,Åse Kleveland,Intet Er Nytt Under Solen
141,1966,Tonia,"Un Peu De Poivre, Un Peu De Sel"
142,1966,Dickie Rock,Come Back To Stay
143,1966,Madeleine Pascal,Ne Vois-tu Pas?
144,1966,Berta Ambroz,Brez Besed
145,1966,Raphael,Yo Soy Aquél
146,1966,Kenneth McKellar,A Man Without Love
147,1966,Margot Eskens,Die Zeiger Der Uhr
148,1966,Michèle Torr,Ce Soir Je T'attendais
149,1966,Ann-Christine Nyström,Play-boy
150,1966,Madalena Iglesias,Ele E Ela
151,1966,Ulla Pia,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go"
152,1966,Milly Scott,Fernando En Philippo
153,1966,Dominique Walter,Chez Nous
154,1966,Tereza,Bien Plus Fort
155,1966,Domenico Modugno,Dio Come Ti Amo
156,1967,Sandie Shaw,Puppet On A String
157,1967,Sean Dunphy,If I Could Choose
158,1967,Noëlle Cordier,Il Doit Faire Beau Là-bas
159,1967,Vicky,L'amour Est Bleu
160,1967,Minouche Barelli,Boum-badaboum
161,1967,Raphael,Hablemos Del Amor
162,1967,Louis Neefs,Ik Heb Zorgen
163,1967,Östen Warnerbring,Som En Dröm
164,1967,Inge Brück,Anouschka
165,1967,Lado Leskovar,Vse Rože Sveta
166,1967,Claudio Villa,Non Andare Più Lontano
167,1967,Eduardo Nascimento,O Vento Mudou
168,1967,Fredi,Varjoon-suojaan
169,1967,Thérèse Steinmetz,Ring-dinge
170,1967,Peter Horten,Warum Es Hunderttausend Sterne Gibt
171,1967,Kirsti Sparboe,Dukkemann
172,1967,Géraldine,Quel Cœur Vas-tu Briser?
173,1968,Massiel,"La, La, La..."
174,1968,Cliff Richard,Congratulations
175,1968,Isabelle Aubret,La Source
176,1968,Pat McGeegan,Chance Of A Lifetime
177,1968,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej"
178,1968,Wencke Myhre,Ein Hoch Der Liebe
179,1968,Claude Lombard,Quand Tu Reviendras
180,1968,Line & Willy,A Chacun Sa Chanson
181,1968,Luci Kapurso & Hamo Hajdarhodzic,Jedan Dan
182,1968,Sergio Endrigo,Marianne
183,1968,Carlos Mendes,Verão
184,1968,Chris Baldo & Sophie Garel,Nous Vivrons D'amour
185,1968,Karel Gott,Tausend Fenster
186,1968,Gianni Mascolo,Guardando Il Sole
187,1968,Odd Børre,Stress
188,1968,Ronnie Tober,Morgen
189,1968,Kristina Hautala,Kun Kello Käy
190,1969,Salomé,Vivo Cantando
191,1969,Lulu,Boom Bang-a-bang
192,1969,Lenny Kuhr,De Troubadour
193,1969,Frida Boccara,"Un Jour, Un Enfant"
194,1969,Paola del Medico,"Bonjour, Bonjour"
195,1969,Jean-Jacques,"Maman, Maman"
196,1969,Muriel Day and the Lindsays,The Wages Of Love
197,1969,Louis Neefs,Jennifer Jennings
198,1969,Tommy Körberg,"Judy, Min Vän"
199,1969,Siw Malmkvist,Primaballerina
200,1969,Romuald,Cathérine
201,1969,Jarkko and Laura,Kuin Silloin Ennen
202,1969,Ivan & M's,Pozdrav Svijetu
203,1969,Iva Zanicchi,Due Grosse Lacrime Bianche
204,1969,Simone de Oliveira,Desfolhada Portuguesa
205,1969,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli"
206,1970,Dana,All Kinds Of Everything
207,1970,Mary Hopkin,"Knock, Knock (who's there?)"
208,1970,Katja Ebstein,Wunder Gibt Es Immer Wieder
209,1970,Henri Dès,Retour
210,1970,Guy Bonnet,Marie Blanche
211,1970,Julio Iglesias,Gwendolyne
212,1970,Patricia and Hearts of Soul,Waterman
213,1970,Gianni Morandi,Occhi Di Ragazza
214,1970,Jean Vallée,Viens L'oublier
