year,to_country,song
1997,Norway,San Francisco
1997,Portugal,Antes Do Adeus
1998,Israel,Diva
1998,United Kingdom,Where Are You?
1998,Malta,The One That I Love
1998,Netherlands,Hemel En Aarde
1998,Croatia,Neka Mi Ne Svane
1998,Belgium,Dis Oui
1998,Germany,Guildo Hat Euch Lieb
1998,Norway,Alltid Sommer
1998,Ireland,Is Always Over Now?
1998,Sweden,Kärleken är
1998,Cyprus,Genesis
1998,Portugal,Se Eu Te Pudesse Abraçar
1998,Estonia,Mere Lapsed
1998,Turkey,Unutamazsin
1998,Finland,Aava
1998,Spain,¿Qué Voy A Hacer Sin Ti?
1998,Poland,To Takie Proste
1998,Slovenia,Naj Bogovi Sliijo
1998,North Macedonia,Ne Zori Zoro
1998,Greece,Mia Krifi Evaisthissia
1998,Slovakia,Modlitba
1998,Romania,Eu Cred
1998,Hungary,A Holnap Már Ném Lesz Szomorú
1998,France,Où Aller
1998,Switzerland,Lass Ihn
1999,Sweden,Take Me To Your Heaven
1999,Iceland,All Out Of Luck
1999,Germany,Reise Nach Jerusalem - Kudüs'e Seyahat
1999,Croatia,Marija Magdalena
1999,Israel,Yom Huledeth
1999,Estonia,Diamond Of Night
1999,Bosnia & Herzegovina,Putnici
1999,Denmark,This Time (i Mean It)
1999,Netherlands,One Good Reason
1999,Austria,Reflection
1999,Slovenia,For A Thousand Years
1999,Belgium,Like The Wind
1999,United Kingdom,Say It Again
1999,Norway,Living My Life Without You
1999,Malta,Believe 'n Peace
1999,Turkey,Dön Artik
1999,Ireland,When You Need Me
1999,Poland,Przytul Mnie Mocno
1999,France,Je Veux Donner Ma Voix
1999,Lithuania,Strazdas
1999,Portugal,Como Tudo Começou
1999,Cyprus,Tha'nai Erotas
1999,Spain,No Quiero Escuchar
2000,Denmark,Fly On The Wings Of Love
2000,Russia,Solo
2000,Latvia,My Star
2000,Estonia,Once In A Lifetime
2000,Germany,Wadde Hadde Dudde Da
2000,Ireland,Millennium Of Love
2000,Sweden,When Spirits Are Calling My Name
2000,Malta,Desire
2000,Croatia,Kada Zaspu Andeli
2000,Turkey,Yorgunum Anla
2000,Norway,My Heart Goes Boom
2000,Iceland,Tell Me!
2000,Netherlands,No Goodbyes
2000,Austria,All To You
2000,North Macedonia,100% Te Ljubam
2000,United Kingdom,Don't Play That Song Again
2000,Romania,The Moon
2000,Spain,Colgado De Un Sueño
2000,Finland,A Little Bit
2000,Switzerland,La Vita Cos'è?
2000,Cyprus,Nomiza
2000,Israel,Sa'me'akh
2000,France,On Aura Le Ciel
2000,Belgium,Envie De Vivre
2001,Estonia,Everybody
2001,Denmark,Never Ever Let You Go
2001,Greece,Die For You
2001,France,Je N'ai Que Mon âme
2001,Sweden,Listen To Your Heartbeat
2001,Spain,Dile Que La Quiero
2001,Slovenia,Energy
2001,Germany,Wer Liebe Lebt
2001,Malta,Another Summer Night
2001,Croatia,Strings Of My Heart
2001,Turkey,Sevgiliye Son
2001,Russia,Lady Alpine Blue
2001,Lithuania,You Got Style
2001,Bosnia & Herzegovina,Hano
2001,United Kingdom,No Dream Impossible
2001,Israel,Ein Davar
2001,Portugal,Só Sei Ser Feliz Assim
2001,Netherlands,Out On My Own
2001,Latvia,Too Much
2001,Poland,2 Long
2001,Ireland,Without Your Love
2001,Iceland,Angel
2001,Norway,On My Own
2002,Latvia,I Wanna
2002,Malta,7th Wonder
2002,United Kingdom,Come Back
2002,Estonia,Runaway
2002,France,Il Faut Du Temps
2002,Cyprus,Gimme
2002,Spain,Europe's Living A Celebration
2002,Sweden,Never Let It Go
2002,Romania,Tell Me Why
2002,Russia,Northern Girl
2002,Croatia,Everything I Want
2002,Israel,Light A Candle
2002,Bosnia & Herzegovina,Na Jastuku Za Dvoje
2002,Belgium,Sister
2002,Slovenia,Samo Ljubezen
2002,Turkey,Leylaklar Soldu Kalbinde
2002,Greece,S.A.G.A.P.O.
2002,Austria,Say A Word
2002,North Macedonia,Od Nas Zavisi
2002,Finland,Addicted To You
2002,Germany,I Can't Live Without Music
2002,Switzerland,Dans Le Jardin De Mon Âme
2002,Lithuania,Happy You
2002,Denmark,Tell Me Who You Are
2003,Turkey,Everyway That I Can
2003,Belgium,Sanomi
2003,Russia,Ne Ver Ne Boisia
2003,Norway,I'm Not Afraid To Move On
2003,Sweden,Give Me Your Love
2003,Austria,Weil Der Mensch Zählt
2003,Poland,Keine Grenzen - Zadnych Granic
2003,Iceland,Open Your Heart
2003,Spain,Dime
2003,Romania,Dont Break My Heart
2003,Ireland,We've Got The World
2003,Germany,Lets Get Happy
2003,Netherlands,One More Night
2003,Ukraine,Hasta La Vista
2003,Croatia,Vie Nisam Tvoja
2003,Bosnia & Herzegovina,Ne Brini
2003,Greece,Never Let You Go
2003,France,Monts Et Merveilles
2003,Israel,Words For Love
2003,Cyprus,Feeling Alive
2003,Estonia,Eighties Coming Back
2003,Portugal,Deixa-me Sonhar
2003,Slovenia,Nanana
2003,Latvia,Hello From Mars
2003,Malta,To Dream Again
2003,United Kingdom,Cry Baby
2004,Ukraine,Wild Dances
2004,Serbia & Montenegro,Lane Moje
2004,Greece,Shake It
2004,Turkey,For Real
2004,Cyprus,Stronger Every Minute
2004,Sweden,It Hurts
2004,Albania,The Image Of You
2004,Germany,Can't Wait Until Tonight
2004,Bosnia & Herzegovina,In The Disco
2004,Spain,Para Llenarme De Ti
2004,Russia,Believe Me
2004,Malta,On Again... Off Again
2004,Croatia,You Are The Only One
2004,North Macedonia,Life
2004,France,A Chaque Pas
2004,United Kingdom,Hold On To Our Love
2004,Poland,Love Song
2004,Romania,I Admit
2004,Iceland,Heaven
2004,Netherlands,Without You
2004,Austria,Du Bist
2004,Belgium,1 Life
2004,Ireland,If My World Stopped Turning
2004,Norway,High
2004,Estonia,Tii
2004,Israel,Le'ha'amin
2004,Denmark,Shame On You
2004,Finland,Takes 2 To Tango
2004,Portugal,Foi Magia
2004,Lithuania,What's Happened To Your Love
2004,Latvia,Dziesma Par Laimi
2004,Andorra,Jugarem A Estimar-nos
2004,Belarus,My Galileo
2004,Monaco,Notre Planète
2004,Slovenia,Stay Forever
2004,Switzerland,Celebrate
2005,Greece,My Number One
2005,Malta,Angel
2005,Romania,Let Me Try
2005,Israel,Hasheket Shenish'ar
2005,Latvia,The War Is Not Over
2005,Moldova,Boonika Bate Doba
2005,Serbia & Montenegro,Zauvijek Moja
2005,Switzerland,Cool Vibes
2005,Norway,In My Dreams
2005,Denmark,Talking To You
2005,Croatia,Vukovi Umiru Sami
2005,Hungary,Forogj Világ
2005,Turkey,Rimi Rimi Ley
2005,Bosnia & Herzegovina,Call Me
2005,Russia,Nobody Hurt No One
2005,Albania,Tomorrow I Go
2005,North Macedonia,Make My Day
2005,Cyprus,Ela Ela
2005,Sweden,Las Vegas
2005,Ukraine,Razom Nas Bahato
2005,Spain,Brujería
2005,United Kingdom,Touch My Fire
2005,France,Chacun Pense à Soi
2005,Germany,Run & Hide
2005,Poland,Czarna Dziewczyna
2005,Slovenia,Stop
2005,Belarus,Love Me Tonight
2005,Netherlands,My Impossible Dream
2005,Ireland,Love?
2005,Iceland,If I Had Your Love
2005,Portugal,Amar
2005,Finland,Why
2005,Bulgaria,Lorraine
2005,Estonia,Let's Get Loud
2005,Austria,Y Así
2005,Belgium,Le Grand Soir
2005,Andorra,La Mirada Interior
2005,Monaco,Tout De Moi
2005,Lithuania,Little By Little
2006,Finland,Hard Rock Hallelujah
2006,Russia,Never Let You Go
2006,Bosnia & Herzegovina,Lejla
2006,Romania,Tornero
2006,Sweden,Invincible
2006,Lithuania,We Are The Winners
2006,Ukraine,Show Me Your Love
2006,Armenia,Without Your Love
2006,Greece,Everything
2006,Ireland,Every Song Is A Cry For Love
2006,Turkey,Superstar
2006,North Macedonia,Ninanajna
2006,Croatia,Moja tikla
2006,Norway,Alvedansen
2006,Germany,No No Never
2006,Switzerland,If We All Give A Little
2006,Latvia,I Hear Your Heart
2006,Denmark,Twist Of Love
2006,United Kingdom,Teenage Life
2006,Moldova,Loca
2006,Spain,Bloody Mary
2006,France,Il était Temps
2006,Israel,Ze Hazman
2006,Malta,I Do
2006,Poland,Follow My Heart
2006,Belgium,Je t'adore
2006,Iceland,Congratulations
2006,Albania,Zjarr E Ftohtë
2006,Cyprus,Why Angels Cry
2006,Slovenia,Mr. Nobody
2006,Bulgaria,Let Me Cry
2006,Estonia,Through My Window
2006,Portugal,Coisas De Nada
2006,Netherlands,Amambanda
2006,Monaco,La Coco-dance
2006,Belarus,Mum
2006,Andorra,Sense Tu
2007,Serbia,Molitva
2007,Ukraine,Dancing Lasha Tumbai
2007,Russia,Song # 1
2007,Turkey,Shake It Up Shekerim
2007,Bulgaria,Water
2007,Belarus,Work Your Magic
2007,Greece,Yassou Maria
2007,Armenia,Anytime You Need
2007,Hungary,Unsubstantial Blues
2007,Moldova,Fight
2007,Bosnia & Herzegovina,Rijeka Bez Imena
2007,Georgia,Visionary Dream
2007,Romania,Liubi Liubi I Love You
2007,North Macedonia,Mojot Svet
2007,Slovenia,Cvet Z Juga
2007,Latvia,Questa Notte
2007,Finland,Leave Me Alone
2007,Sweden,The Worrying Kind
2007,Germany,Frauen Regieren Die Welt
2007,Spain,I Love You Mi Vida
2007,Lithuania,Love Or Leave
2007,France,L'amour à La Française
2007,United Kingdom,Flying The Flag (for You)
2007,Ireland,They Can't Stop The Spring
2007,Portugal,Dança Comigo (vem Ser Feliz)
2007,Andorra,Salvem El Món
2007,Iceland,Valentine Lost
2007,Poland,Time To Party
2007,Cyprus,Comme Ci Comme ça
2007,Croatia,Vjerujem U Ljubav
2007,Albania,Hear My Plea
2007,Norway,Ven A Bailar Conmigo
2007,Denmark,Drama Queen
2007,Switzerland,Vampires Are Alive
2007,Netherlands,On Top Of The World
2007,Montenegro,Ajde Kroci
2007,Estonia,Partners In Crime
2007,Israel,Push The Button
2007,Malta,Vertigo
2007,Belgium,Love Power
2007,Austria,Get A Life - Get Alive
2007,Czech Republic,Malá Dáma
2008,Russia,Believe
2008,Ukraine,Shady Lady
2008,Greece,Secret Combination
2008,Armenia,Qele Qele
2008,Norway,Hold On Be Strong
2008,Serbia,Oro
2008,Turkey,Deli
2008,Azerbaijan,Day After Day
2008,Israel,The Fire In Your Eyes
2008,Bosnia & Herzegovina,Pokušaj
2008,Georgia,Peace Will Come
2008,Latvia,Wolves Of The Sea
2008,Portugal,Senhora Do Mar (Negras Águas)
2008,Iceland,This Is My Life
2008,Denmark,All Night Long
2008,Spain,Baila El Chiki Chiki
2008,Albania,Zemrën E Lamë Peng
2008,Sweden,Hero
2008,France,Divine
2008,Romania,Pe-o Margine De Lume
2008,Croatia,Romanca
2008,Finland,Missä Miehet Ratsastaa
2008,Germany,Disappear
2008,Poland,For Life
2008,United Kingdom,Even If
2008,North Macedonia,Let Me Love You
2008,Bulgaria,DJ Take Me Away
2008,Switzerland,Era Stupendo
2008,Malta,Vodka
2008,Slovenia,Vrag Naj Vzame
2008,Moldova,A Century Of Love
2008,Cyprus,Femme Fatale
2008,Lithuania,Nomads In The Night
2008,Netherlands,Your Heart Belongs To Me
2008,Belarus,Hasta La Vista
2008,Montenegro,Zauvijek Volim Te
2008,Ireland,Irelande Douze Pointe
2008,Andorra,Casanova
2008,Belgium,O Julissi
2008,Czech Republic,Have Some Fun
2008,Estonia,Leto Svet
2008,Hungary,Candlelight
2008,San Marino,Complice
2009,Norway,Fairytale
2009,Iceland,Is It True?
2009,Azerbaijan,Always
2009,Turkey,Düm Tek Tek
2009,United Kingdom,It's My Time
2009,Estonia,Rändajad
2009,Greece,This Is Our Night
2009,France,Et S'il Fallait Le Faire
2009,Bosnia & Herzegovina,Bistra Voda
2009,Armenia,Jan Jan
2009,Russia,Mamo
2009,Ukraine,Be my Valentine! (Anti-crisis Girl)
2009,Denmark,Believe Again
2009,Moldova,Hora Din Moldova
2009,Portugal,Todas As Ruas Do Amor
2009,Israel,There Must Be Another Way
2009,Albania,Carry Me In Your Dreams
2009,Croatia,Lijepa Tena
2009,Romania,The Balkan Girls
2009,Germany,Miss Kiss Kiss Bang
2009,Sweden,La Voix
2009,Malta,What If We
2009,Lithuania,Love
2009,Spain,La Noche Es Para Mí (The Night Is For Me)
2009,Finland,Lose Control
2009,Serbia,Cipela
2009,Ireland,Et Cetera
2009,North Macedonia,Neshto Shto Ke Ostane
2009,Montenegro,Just Get Out of My Life
2009,Poland,I Don't Wanna Leave
2009,Cyprus,Firefly
2009,Belarus,Eyes That Never Lie
2009,Switzerland,The Highest Heights
2009,Hungary,Dance With Me
2009,Slovenia,Love Symphony
2009,Netherlands,Shine
2009,Andorra,La Teva Decisió (Get A Life)
2009,Slovakia,Leť Tmou
2009,Bulgaria,Illusion
2009,Latvia,Probka
2009,Belgium,nan
2009,Czech Republic,Aven Romale
2010,Germany,Satellite
2010,Turkey,We Could Be The Same
2010,Romania,Playing With Fire
2010,Denmark,In A Moment Like This
2010,Azerbaijan,Drip Drop
2010,Belgium,Me And My Guitar
2010,Armenia,Apricot Stone
2010,Greece,OPA
2010,Georgia,Shine
2010,Ukraine,Sweet People
2010,Russia,Lost And Forgotten
2010,France,Allez Olla Olé
2010,Serbia,Ovo Je Balkan
2010,Israel,Milim
2010,Spain,Algo Pequeñito
2010,Albania,It's All About You
2010,Bosnia & Herzegovina,Thunder and Lightning
2010,Portugal,Há Dias Assim
2010,Iceland,Je Ne Sais Quoi
2010,Norway,My Heart Is Yours
2010,Cyprus,Life Looks Better In Spring
2010,Moldova,Run Away
2010,Ireland,It's For You
2010,Belarus,Butterflies
2010,United Kingdom,That Sounds Good To Me
2010,Sweden,This Is My Life
2010,Finland,Työlki Ellää
2010,Lithuania,Eastern European Funk
2010,Malta,My Dream
2010,Poland,Legenda
2010,Estonia,Siren
2010,North Macedonia,Jas Ja Imam Silata
2010,Croatia,Lako Je Sve
2010,Netherlands,Ik Ben Verliefd (Sha-la-lie)
2010,Slovakia,Horehronie
2010,Bulgaria,Angel Si Ti
2010,Latvia,What For?
2010,Slovenia,Narodnozabavni Rock
2010,Switzerland,Il Pleut de L'Or
2011,Azerbaijan,Running Scared
2011,Italy,Madness Of Love
2011,Sweden,Popular
2011,Ukraine,Angel
2011,Denmark,New Tomorrow
2011,Bosnia & Herzegovina,Love In Rewind
2011,Greece,Watch My Dance
2011,Ireland,Lipstick
2011,Georgia,One More Day
2011,Germany,Taken By A Stranger
2011,United Kingdom,I Can
2011,Moldova,So Lucky
2011,Slovenia,No One
2011,Serbia,Čaroban
2011,France,Sognu
2011,Russia,Get You
2011,Romania,Change
2011,Austria,The Secret Is Love
2011,Lithuania,C'est Ma Vie
2011,Iceland,Coming Home
2011,Finland,Da Da Dam
2011,Hungary,What About My Dreams?
2011,Spain,Que Me Quiten Lo Bailao
2011,Estonia,Rockefeller Street
2011,Switzerland,In Love For A While
2011,Malta,One Life
2011,Armenia,Boom Boom
2011,Belgium,With Love Baby
2011,Turkey,Live It Up
2011,Albania,Feel The Passion
2011,Bulgaria,Na Inat
2011,Slovakia,I'm Still Alive
2011,Belarus,I Love Belarus
2011,Croatia,Celebrate
2011,Israel,Ding Dong
2011,North Macedonia,Rusinka
2011,San Marino,Stand By
2011,Norway,Haba Haba
2011,Latvia,Angel In Disguise
2011,Portugal,Luta É Alegria
2011,Poland,Jestem
2011,Cyprus,San Aggelos S'agapisa
2011,Netherlands,Never Alone
2012,Sweden,Euphoria
2012,Russia,Party For Everybody
2012,Serbia,Nije Ljubav Stvar
2012,Azerbaijan,When The Music Dies
2012,Albania,Suus
2012,Estonia,Kuula
2012,Turkey,Love Me Back
2012,Germany,Standing Still
2012,Italy,L'Amore È Femmina (Out Of Love)
2012,Spain,Quédate Conmigo
2012,Moldova,Lăutar
2012,Romania,Zaleilah
2012,North Macedonia,Crno I Belo
2012,Lithuania,Love Is Blind
2012,Ukraine,Be My Guest
2012,Cyprus,La La Love
2012,Greece,Aphrodisiac
2012,Bosnia & Herzegovina,Korake Ti Znam
2012,Ireland,Waterline
2012,Iceland,Never Forget
2012,Malta,This Is The Night
2012,France,Echo (You And I)
2012,Denmark,Should've Known Better
2012,Hungary,Sound Of Our Hearts
2012,United Kingdom,Love Will Set You Free
2012,Norway,Stay
2012,Bulgaria,Love Unlimited
2012,Switzerland,Unbreakable
2012,Croatia,Nebo
2012,Finland,När Jag Blundar
2012,Portugal,Vida Minha
2012,Georgia,I'm A Joker
2012,Netherlands,You And Me
2012,Belarus,We Are The Heroes
2012,Israel,Time
2012,San Marino,The Social Network Song (Oh Oh – Uh - Oh Oh)
2012,Slovenia,Verjamem
2012,Slovakia,Don't Close Your Eyes
2012,Montenegro,Euro Neuro
2012,Latvia,Beautiful Song
2012,Belgium,Would You?
2012,Austria,Woki Mit Deim Popo
2013,Denmark,Only Teardrops
2013,Azerbaijan,Hold Me
2013,Ukraine,Gravity
2013,Norway,I Feed You My Love
2013,Russia,What If
2013,Greece,Alcohol Is Free
2013,Italy,L'Essenziale
2013,Malta,Tomorrow
2013,Netherlands,Birds
2013,Hungary,Kedvesem
2013,Moldova,O Mie
2013,Belgium,Love Kills
2013,Romania,It's My Life
2013,Sweden,You
2013,Georgia,Waterfall
2013,Belarus,Solayoh
2013,Iceland,Ég Á Líf
2013,Armenia,Lonely Planet
2013,United Kingdom,Believe In Me
2013,Estonia,Et Uus Saaks Alguse
2013,Germany,Glorious
2013,Lithuania,Something
2013,France,L'enfer Et Moi
2013,Finland,Marry Me
2013,Spain,Contigo Hasta El Final (With You Until The End)
2013,Ireland,Only Love Survives
2013,Serbia,Ljubav Je Svuda
2013,San Marino,Crisalide (Vola)
2013,Bulgaria,Samo Shampioni
2013,Montenegro,Igranka
2013,Switzerland,You And Me
2013,Croatia,Mižerja
2013,Israel,Rak Bishvilo
2013,Albania,Identitet
2013,Austria,Shine
2013,North Macedonia,Pred Da Se Razdeni
2013,Latvia,Here We Go
2013,Cyprus,An Me Thimasai
2013,Slovenia,Straight Into Love
2014,Austria,Rise Like a Phoenix
2014,Netherlands,Calm After The Storm
2014,Sweden,Undo
2014,Armenia,Not Alone
2014,Hungary,Running
2014,Ukraine,Tick - Tock
2014,Russia,Shine
2014,Norway,Silent Storm
2014,Denmark,Cliche Love Song
2014,Spain,Dancing in the rain
2014,Finland,Something Better
2014,Romania,Miracle
2014,Switzerland,Hunter Of Stars
2014,Poland,My Słowianie - We Are Slavic
2014,Iceland,No Prejudice
2014,Belarus,Cheesecake
2014,United Kingdom,Children of the Universe
2014,Germany,Is It Right
2014,Montenegro,Moj Svijet
2014,Greece,Rise Up
2014,Italy,La Mia Città
2014,Azerbaijan,Start A Fire
2014,Malta,Coming Home
2014,San Marino,Maybe (Forse)
2014,Slovenia,Round and Round
2014,France,Moustache
2014,Portugal,Quero Ser Tua
2014,Lithuania,Attention
2014,Ireland,Heartbeat
2014,Estonia,Amazing
2014,North Macedonia,To the Sky
2014,Latvia,Cake To Bake
2014,Belgium,Mother
2014,Albania,One Night's Anger
2014,Israel,Same Heart
2014,Georgia,Three Minutes To Earth
2014,Moldova,Wild Soul
2015,Sweden,Heroes
2015,Russia,A Million Voices
2015,Italy,Grande Amore
2015,Belgium,Rhythm Inside
2015,Australia,Tonight Again
2015,Latvia,Love Injected
2015,Estonia,Goodbye to Yesterday
2015,Norway,A Monster Like Me
2015,Israel,Golden Boy
2015,Serbia,Beauty Never Lies
2015,Georgia,Warrior
2015,Azerbaijan,Hour Of The Wolf
2015,Montenegro,Adio
2015,Slovenia,Here for You
2015,Romania,De La Capăt / All Over Again
2015,Armenia,Face The Shadow
2015,Albania,I'm Alive
2015,Lithuania,This Time
2015,Greece,One Last Breath
2015,Hungary,Wars For Nothing
2015,Spain,Amanecer
2015,Cyprus,One Thing I Should Have Done
2015,Poland,In The Name Of Love
2015,United Kingdom,Still in Love with You
2015,France,N’oubliez pas
2015,Austria,I Am Yours
2015,Germany,Black Smoke
2015,Moldova,I Want Your Love
2015,Malta,Warrior
2015,Belarus,Time
2015,Ireland,Playing With Numbers
2015,Denmark,The Way You Are
2015,Netherlands,Walk Along
2015,Czech Republic,Hope Never Dies
2015,North Macedonia,Autumn Leaves
2015,Portugal,Há um mar que nos Separa
2015,Iceland,Unbroken
2015,Finland,Aina Mun Pitää
2015,San Marino,Chain Of Lights
2015,Switzerland,Time To Shine
2016,Ukraine,1944
2016,Australia,Sound of Silence
2016,Russia,You Are the Only One
2016,Bulgaria,If Love Was a Crime
2016,Sweden,If I Were Sorry
2016,France,J'ai Cherché
2016,Armenia,LoveWave
2016,Poland,Color of Your Life
2016,Lithuania,I've Been Waiting for This Night
2016,Belgium,What's the Pressure
2016,Netherlands,Slow Down
2016,Malta,Walk on Water
2016,Austria,Loin d'ici
2016,Israel,Made of Stars
2016,Latvia,Heartbeat
2016,Italy,No Degree of Separation
2016,Azerbaijan,Miracle
2016,Serbia,Goodbye (Shelter)
2016,Hungary,Pioneer
2016,Georgia,Midnight Gold
2016,Cyprus,Alter Ego
2016,Spain,Say Yay!
2016,Croatia,Lighthouse
2016,United Kingdom,You're Not Alone
2016,Czech Republic,I Stand
2016,Germany,Ghost
2016,Bosnia & Herzegovina,Ljubav Je
2016,North Macedonia,Dona
2016,Belarus,Help You Fly
2016,San Marino,I Didn't Know
2016,Norway,Icebreaker
2016,Montenegro,The Real Thing
2016,Slovenia,Blue and Red
2016,Iceland,Hear Them Calling
2016,Finland,Sing It Away
2016,Ireland,Sunlight
2016,Albania,Fairytale
2016,Greece,Utopian Land
2016,Denmark,Soldiers of Love
2016,Moldova,Falling Stars
2016,Switzerland,The Last of Our Kind
2016,Estonia,Play
2017,Portugal,Amar Pelos Dois
2017,Bulgaria,Beautiful Mess
2017,Moldova,Hey Mamma
2017,Belgium,City Lights
2017,Sweden,I Can't Go On
2017,Italy,Occidentali's Karma
2017,Romania,Yodel It!
2017,Hungary,Origo
2017,Australia,Don't Come Easy
2017,Norway,Grab the Moment
2017,Netherlands,Lights And Shadows
2017,France,Requiem
2017,Croatia,My Friend
2017,Azerbaijan,Skeletons
2017,United Kingdom,Never Give Up on You
2017,Austria,Running On Air
2017,Belarus,Historyja Majho Zyccia
2017,Armenia,Fly With Me
2017,Greece,This is Love
2017,Denmark,Where I Am
2017,Cyprus,Gravity
2017,Poland,Flashlight
2017,Israel,I Feel Alive
2017,Ukraine,Time
2017,Germany,Perfect Life
2017,Spain,Do It for Your Lover
2017,Georgia,Keep The Faith
2017,Serbia,In Too Deep
2017,Switzerland,Apollo
2017,Finland,Blackbird
2017,Ireland,Dying To Try
2017,Estonia,Verona
2017,Czech Republic,My Turn
2017,Albania,World
2017,North Macedonia,Dance Alone
2017,Iceland,Paper
2017,Montenegro,Space
2017,Malta,Breathlessly
2017,Lithuania,Rain Of Revolution
2017,Slovenia,On My Way
2017,Latvia,Line
2017,San Marino,Spirit Of The Night
2018,Israel,Toy
2018,Cyprus,Fuego
2018,Austria,Nobody But You
2018,Germany,You Let Me Walk Alone
2018,Italy,Non Mi Avete Fatto Niente
2018,Czech Republic,Lie To Me
2018,Sweden,Dance You Off
2018,Estonia,La Forza
2018,Denmark,Higher Ground
2018,Moldova,My Lucky Day
2018,Albania,Mall
2018,Lithuania,When We're Old
2018,France,Mercy
2018,Bulgaria,Bones
2018,Norway,That's How You Write a Song
2018,Ireland,Together
2018,Ukraine,Under the Ladder
2018,Netherlands,Outlaw In 'Em
2018,Serbia,Nova Deca
2018,Australia,We Got Love
2018,Hungary,Viszlát Nyár
2018,Slovenia,Hvala ne!
2018,Spain,Tu Canción
2018,United Kingdom,Storm
2018,Finland,Monsters
2018,Portugal,O Jardim
2018,Romania,Goodbye
2018,Latvia,Funny Girl
2018,Malta,Taboo
2018,Azerbaijan,X My Heart
2018,Belgium,A Matter of Time
2018,Switzerland,Stones
2018,Poland,Light Me Up
2018,Greece,Oniro Mou
2018,Armenia,Qami
2018,Russia,I Won't Break
2018,Belarus,Forever
2018,Croatia,Crazy
2018,Montenegro,Inje
2018,San Marino,Who We Are
2018,Georgia,For You
2018,North Macedonia,Lost And Found
2018,Iceland,Our Choice
2019,Netherlands,Arcade
2019,Italy,Soldi
2019,Russia,Scream
2019,Switzerland,She Got Me
2019,Sweden,Too Late for Love
2019,Norway,Spirit in the Sky
2019,North Macedonia,Proud
2019,Azerbaijan,Truth
2019,Australia,Zero Gravity
2019,Iceland,Hatrið mun sigra
2019,Czech Republic,Friend of a Friend
2019,Denmark,Love Is Forever
2019,Cyprus,Replay
2019,Malta,Chameleon
2019,Slovenia,Sebi
2019,France,Roi
2019,Albania,Ktheju Tokës
2019,Serbia,Kruna
2019,San Marino,Say Na Na Na
2019,Estonia,Storm
2019,Greece,Better Love
2019,Spain,La Venda
2019,Israel,Home
2019,Belarus,Like It
2019,Germany,Sister
2019,United Kingdom,Bigger Than Us
2019,Poland,Pali się
2019,Hungary,Az én apám
2019,Lithuania,Run with the Lions
2019,Moldova,Stay
2019,Belgium,Wake Up
2019,Romania,On a Sunday
2019,Georgia,Keep on Going
2019,Croatia,The Dream
2019,Portugal,Telemóveis
2019,Latvia,That Night
2019,Armenia,Walking Out
2019,Montenegro,Heaven
2019,Finland,Look Away
2019,Austria,Limits
2019,Ireland,22
2020,France,The Best in Me
2020,Germany,Violent Thing
2020,Italy,Fai rumore
2020,Netherlands,Grow
2020,Spain,Universo
2020,United Kingdom,My Last Breath
2020,Australia,Don't Break Me
2020,Belarus,Da vidna
2020,Ireland,Story Of My Life
2020,Lithuania,On Fire
2020,North Macedonia,You
2020,Russia,Uno
2020,Slovenia,Voda
2020,Sweden,Move
2020,Azerbaijan,Cleopatra
2020,Belgium,Release Me
2020,Croatia,Divlji vjetre
2020,Cyprus,Running
2020,Israel,Feker Libi
2020,Malta,All Of My Love
2020,Norway,Attention
2020,Romania,Alcohol You
2020,Ukraine,Solovey
2020,Austria,Alive
2020,Czech Republic,Kemama
2020,Estonia,What Love Is
2020,Greece,Superg!rl​
2020,Iceland,Think About Things
2020,Moldova,Prison
2020,Poland,Empires
2020,San Marino,Freaky!
2020,Serbia,Hasta la vista
2020,Albania,Fall From The Sky
2020,Armenia,Chains On You
2020,Bulgaria,Tears Getting Sober
2020,Denmark,Yes
2020,Finland,Looking Back
2020,Georgia,Take Me As I Am
2020,Latvia,Still Breathing
2020,Portugal,Medo de sentir
2020,Switzerland,Répondez-moi
